zipcode,Quantity
00601,21
00602,65
00603,103
00606,10
00610,44
00612,138
00616,16
00617,43
00622,10
00623,77
00624,34
00627,62
00637,52
00638,23
00641,44
00646,78
00647,6
00650,26
00652,7
00653,20
00656,25
00659,50
00660,32
00662,109
00664,21
00667,39
00669,37
00670,15
00674,67
00676,50
00677,21
00678,63
00680,106
00682,57
00683,56
00685,69
00687,42
00688,18
00690,15
00692,57
00693,116
00694,1
00698,80
00703,28
00704,21
00705,53
00707,15
00714,35
00715,2
00716,61
00717,35
00718,40
00719,41
00720,14
00723,21
00725,206
00727,112
00728,83
00729,69
00730,66
00731,12
00735,24
00736,87
00738,69
00739,76
00740,1
00741,12
00745,97
00751,45
00754,61
00757,37
00766,49
00767,64
00769,60
00771,63
00772,23
00773,36
00777,61
00778,87
00780,29
00782,20
00783,49
00784,94
00791,96
00794,34
00795,88
00901,5
00907,34
00909,15
00911,11
00912,10
00913,14
00915,40
00917,46
00918,37
00920,37
00921,80
00923,54
00924,116
00925,4
00926,207
00927,30
00949,148
00952,16
00953,139
00956,175
00957,93
00959,101
00961,74
00962,46
00965,8
00966,21
00968,5
00969,77
00971,19
00976,81
00979,30
00982,31
00983,80
00985,110
00987,126
32003,14
32009,4
32011,22
32034,37
32065,32
32068,61
32073,28
32081,24
32082,29
32084,39
32092,55
32095,23
32097,40
32114,55
32117,70
32118,57
32119,41
32124,56
32127,40
32128,29
32129,30
32132,13
32141,38
32159,38
32162,55
32163,52
32168,60
32169,15
32174,86
32176,19
32202,2
32204,6
32205,16
32206,13
32207,23
32208,18
32209,16
32210,62
32211,24
32216,26
32217,18
32218,58
32219,21
32220,11
32221,29
32222,17
32223,15
32224,30
32225,50
32226,23
32233,19
32234,7
32244,43
32246,46
32250,20
32254,18
32256,63
32257,22
32258,36
32259,70
32266,4
32277,25
32617,10
32696,55
32701,31
32703,91
32707,56
32708,61
32709,6
32712,78
32713,36
32714,46
32720,48
32723,1
32724,60
32725,56
32726,33
32730,8
32732,15
32736,27
32738,69
32744,10
32746,72
32750,35
32751,33
32754,35
32757,45
32763,34
