zipcode,Quantity
11207,1
11234,1
11370,1
11379,1
1463,1
19018,1
19020,1
19057,1
19095,1
19143,1
19702,1
20851,1
21009,1
21093,1
21163,1
21220,1
22312,2
27260,1
27601,1
27704,1
27707,2
28027,1
28054,1
28078,1
28112,1
28203,1
28205,1
28216,1
28273,1
28304,1
2889,1
29073,1
29203,2
29209,1
29403,1
29405,1
29410,1
29483,1
29650,1
29687,1
30014,1
30024,1
30087,1
30114,1
30252,2
30263,1
30312,1
3104,1
31415,1
31904,1
32003,159
32009,20
32011,110
32034,221
32044,2
32065,213
32068,368
32073,219
32081,132
32082,121
32084,187
32092,329
32095,131
32097,162
32102,28
32113,54
32114,250
32117,274
32118,123
32119,182
32124,118
32127,231
32128,149
32129,173
32132,64
32134,84
32140,22
32141,202
32148,93
32159,135
32162,186
32163,203
32168,255
32169,62
32174,402
32176,98
32177,125
32179,114
32195,13
32202,17
32204,30
32205,110
32206,75
32207,176
32208,157
32209,149
32210,316
32211,208
32216,194
32217,100
32218,382
32219,93
32220,70
32221,193
32222,105
32223,128
32224,160
32225,247
32226,126
32233,99
32234,56
32244,309
32246,293
32250,121
32254,71
32256,268
32257,212
32258,192
32259,337
32266,29
32277,149
32601,61
32603,8
32605,115
32606,103
32607,143
32608,243
32609,106
32611,1
32615,124
32617,36
32618,48
32621,56
32626,82
32640,90
32641,88
32643,100
32653,77
32656,71
32666,26
32667,20
32668,48
32669,109
32686,34
32693,103
32694,23
32696,132
32701,36
32702,16
32703,137
32707,73
32708,97
32709,8
32712,138
32713,63
32714,61
32720,167
32723,3
32724,205
32725,126
32726,43
32730,9
32732,12
32736,25
32738,297
32744,17
32746,83
32750,51
32751,49
32754,40
32757,84
32763,49
32764,16
32765,120
32766,40
32767,28
32771,134
32773,63
32776,71
32778,48
32779,64
32780,69
32784,38
32789,48
32792,108
32796,47
32798,13
32801,45
32803,40
32804,69
32805,34
32806,57
32807,85
32808,72
32809,64
32810,51
32811,70
32812,58
32814,21
32816,2
32817,69
32818,91
32819,79
32820,33
32821,67
32822,122
32824,117
32825,132
32826,40
32827,86
32828,116
32829,48
32832,92
32833,27
32835,85
32836,55
32837,118
32839,93
32901,50
32903,68
32904,95
32905,78
32907,448
32908,145
32909,341
32920,122
32922,29
32926,45
32927,54
32931,32
32934,51
32935,103
32937,76
32940,223
32952,42
32953,53
32955,83
32960,229
32962,280
32968,172
33004,202
33009,823
33010,891
330104070,6
33012,1215
33013,668
33014,1160
33015,871
33016,889
33018,1232
33019,120
33020,606
33021,496
33023,1695
330233900,1
33024,796
33025,828
33026,264
33027,677
33028,248
33029,579
33030,446
33031,94
33032,980
33033,853
33034,349
33035,219
33039,1
33054,811
33055,756
33056,584
33060,400
33062,196
33063,847
33064,786
33065,538
33066,180
33067,234
33068,669
33069,333
33071,339
33073,272
33076,345
33106,23
33122,2908
33125,751
33126,3527
331263865,1
33127,314
33128,93
33129,117
33130,307
33131,197
33132,222
33133,277
33134,440
33135,588
33136,171
33137,262
33138,230
33139,348
33140,198
33141,349
33142,848
33143,302
33144,468
33145,328
33146,98
33147,833
33149,94
33150,332
33154,124
33155,600
33156,235
33157,940
33158,43
33160,480
33161,570
33162,571
33165,815
33166,8988
33167,305
33168,299
33169,566
33170,283
33172,3752
33173,330
33174,458
33175,758
33176,539
33177,940
33178,2537
33179,530
33180,265
33181,229
33182,1642
33183,405
33184,337
33185,341
33186,1091
33187,333
33189,313
33190,209
33191,262
